"CUSTOMER_ID";"CUSTOMER_NAME";"DATE_OF_BIRTH";"AGE";"PLAN_ID"
1;"Suzy Lincke";"2022-01-04";56;10
2;"Kele Milazzo";"2022-03-24";27;3
3;"Sarge Ellaway";"2021-12-29";33;8
4;"Nealy Cadell";"2022-10-29";34;7
5;"Etheline Ogger";"2022-07-26";64;2
6;"Yoko Whitley";"2022-06-16";47;6
7;"Bette-ann Jacke";"2022-05-24";32;1
8;"Peggy Ricoald";"2022-02-04";33;5
9;"Heinrick Dubbin";"2022-05-08";27;4
10;"Othelia Ucchino";"2021-12-05";18;9
11;"Northrop Goreway";"2022-04-10";25;10
12;"Alfie Lees";"2022-10-26";58;3
13;"Daffi Bettam";"2022-01-11";36;5
14;"Mab Shrimpton";"2022-03-01";29;9
15;"Devan Kinneir";"2022-04-27";21;8
16;"Kyle Uccello";"2022-06-03";69;10
17;"Barnaby Maybey";"2022-09-19";30;2
18;"Jenna Huntingford";"2021-11-19";52;6
19;"Mandie Marsden";"2022-03-09";35;8
20;"Sherwood Yellowlee";"2022-05-16";29;4
21;"Analise Gymblett";"2022-09-01";19;5
22;"Daryl Michiel";"2022-09-09";19;9
23;"Carmina Gallyhaock";"2022-11-13";45;3
24;"Erna Keam";"2022-10-13";42;1
25;"Natividad Cultcheth";"2022-03-31";68;7
26;"Vachel Munnis";"2021-12-13";70;5
27;"Justen Gunston";"2022-08-06";38;8
28;"Rickey Bandy";"2022-08-23";42;4
29;"Clementine Grishankov";"2022-01-19";59;10
30;"Alysia Byron";"2022-10-23";55;9
31;"Marchall MacCard";"2022-06-08";62;4
32;"Margaretta Klimkin";"2022-01-13";20;7
33;"Myrle Throssell";"2022-07-31";61;5
34;"Dominique Ashwell";"2021-11-25";48;3
35;"Masha Banker";"2021-11-28";53;6
36;"Cassaundra Rydeard";"2022-06-26";24;9
37;"Harper Randell";"2022-03-09";52;8
38;"Katherine Aucutt";"2022-10-12";24;1
39;"Rosie Casarini";"2022-05-22";60;10
40;"Nikita Greep";"2022-06-27";45;2
41;"Rosetta Goodey";"2022-08-29";65;6
42;"Felisha Furtado";"2022-05-13";22;3
43;"Cesya Mosdill";"2022-06-24";67;9
44;"Verene Manilo";"2022-07-14";35;2
45;"Lammond Pipping";"2022-11-09";20;1
46;"Trisha Dobeson";"2022-01-31";20;9
47;"Magnum Jedrasik";"2022-02-20";49;10
48;"Ferdie Bozworth";"2022-06-10";62;1
49;"Gayle Korbmaker";"2022-01-16";54;4
50;"Dolli MacLaughlin";"2022-02-12";23;8
51;"Monro Agott";"2022-06-23";68;6
52;"Regina Moehle";"2022-09-13";51;7
53;"Doll Gobourn";"2022-05-06";45;5
54;"Debee Count";"2022-03-06";29;3
55;"Elwira Maplethorpe";"2022-02-12";60;2
56;"Lesley Lesaunier";"2022-02-03";46;1
57;"Benny Giovannoni";"2022-03-29";27;2
58;"Clayborne Fryers";"2022-01-04";65;10
59;"Chrysler MacLaren";"2022-07-25";58;5
60;"Marleen Adamski";"2022-10-24";59;7
61;"Ashia Helm";"2021-12-02";22;8
62;"Arturo Anfrey";"2022-07-05";61;9
63;"Lyndsay Moyne";"2022-09-11";61;2
64;"Cherey Weiss";"2021-12-15";49;4
65;"Krispin Troyes";"2022-02-02";27;3
66;"Dick Woofenden";"2022-08-24";42;1
67;"Travers Alcott";"2022-08-10";28;5
68;"Pepito Gomar";"2022-03-14";22;6
69;"Stuart Carbert";"2022-05-29";50;10
70;"Junia Fontin";"2022-11-03";37;7
71;"Adelle Shillaber";"2022-04-11";22;9
72;"Austin Deadman";"2022-01-29";42;4
73;"Farand Vials";"2021-11-26";69;10
74;"Burnaby Connochie";"2021-11-26";70;1
75;"Allyce Tonge";"2022-07-01";44;2
76;"Ulick Kite";"2022-04-06";36;5
77;"Paulie Meckiff";"2022-08-19";21;10
78;"Ryann Ortzen";"2022-02-27";60;4
79;"Mychal Plail";"2022-06-28";33;2
80;"Stephenie Ledster";"2022-11-13";70;8
81;"Selie Stickler";"2022-05-12";50;6
82;"Shannon Markl";"2022-05-23";57;7
83;"Jean Soars";"2022-07-07";38;9
84;"Georgie Annable";"2022-10-19";39;3
85;"Byram Blaschke";"2021-12-16";36;1
86;"Hank Polycote";"2021-12-13";27;10
87;"Bond Sloane";"2022-06-01";57;1
88;"Tracie Giraldo";"2022-09-03";53;4
89;"Hamilton Sharphurst";"2022-11-16";19;7
90;"Carmina Farrent";"2021-12-11";67;5
91;"Ema Pimme";"2021-12-09";70;8
92;"Durant Semorad";"2022-05-31";51;1
93;"Wilhelmina Szymanowski";"2021-12-27";30;10
94;"Laverna Onyon";"2022-08-21";34;3
95;"Rupert Licciardo";"2022-10-18";62;9
96;"Von Readwin";"2022-07-07";61;4
97;"Wells Bergstrand";"2022-04-15";41;2
98;"Batholomew Enderby";"2022-04-29";47;7
99;"Dene Stanbra";"2022-11-06";33;6
100;"Lidia Thorburn";"2022-07-09";49;5
101;"Andrei Warlow";"2022-08-26";59;8
102;"Maisey Bisson";"2022-09-11";36;9
103;"Constantine Yesinov";"2022-05-11";61;7
104;"Hazel Staterfield";"2022-11-02";30;1
105;"Krispin Tolland";"2022-03-19";39;6
106;"Winfred Corrin";"2022-03-16";23;7
107;"Luke Liddon";"2021-12-21";34;10
108;"Cliff Presnell";"2022-07-04";36;1
109;"Meghan Leppingwell";"2022-06-12";62;3
110;"Dick Farquarson";"2022-11-15";55;2
111;"Margaretha Overil";"2022-06-10";51;6
112;"Margy Stower";"2022-08-27";57;8
113;"Hailey Wyborn";"2022-11-12";40;4
114;"Giacomo Brandrick";"2022-09-19";64;5
115;"Urban Eckart";"2022-07-07";38;9
116;"Iggy Flecknoe";"2021-12-22";40;8
117;"Luelle Pidwell";"2022-03-02";45;6
118;"Filippa Hebbs";"2021-11-29";44;2
119;"Ninette Jenken";"2022-09-05";56;5
120;"Ardene Death";"2022-04-14";25;7
121;"Gabby Pannett";"2022-07-03";18;5
122;"Natividad Beetlestone";"2022-10-24";60;7
123;"Marget Patsall";"2022-07-12";57;3
124;"Bess Franciottoi";"2022-09-12";66;9
125;"Virgil Ketteman";"2022-06-04";57;4
126;"Mellisa Fortnum";"2022-07-12";70;10
127;"Kala Binns";"2021-11-20";23;8
128;"Jillayne Magson";"2022-06-30";22;1
129;"Roosevelt Rollitt";"2022-08-25";36;6
130;"Bernie Duke";"2022-11-17";63;2
131;"Darill MacDiarmid";"2022-04-16";44;3
132;"Lazar Wahncke";"2022-03-10";61;5
133;"Cassaundra Janew";"2022-05-06";53;1
134;"Amelia D'eathe";"2021-12-03";48;6
135;"Blondie Newlove";"2021-12-07";56;4
136;"Antonino MacAllister";"2022-02-07";42;3
137;"Karilynn Dicken";"2022-10-28";47;10
138;"Carina Beades";"2022-06-15";28;7
139;"Bird Maling";"2022-03-15";68;5
140;"Linnet Hick";"2022-06-29";68;6
141;"Massimiliano Konzel";"2022-10-20";47;1
142;"Shae Rambadt";"2022-10-06";50;9
143;"Marve Divers";"2022-03-15";36;4
144;"Neddie Honack";"2022-08-08";39;8
145;"Elmira Tenby";"2022-07-27";68;2
146;"Marlowe Cowlishaw";"2022-05-25";39;8
147;"Liva Cattellion";"2022-09-03";35;6
148;"Randee Loblie";"2022-02-28";55;4
149;"Lay Burbage";"2022-05-23";45;2
150;"Jeramey Rennie";"2022-01-25";67;7
