"EMPLOYEE_ID";"LastName";"FirstName";"PHONE_NUMBER";"SALARY";"STORE_ID"
1;"Cleveland";"Kermode";"596-514-8827";6874;8
2;"Pavlov";"Bernholt";"806-557-1906";3871;9
3;"Alanna";"Anscott";"805-185-2607";4645;5
4;"Larissa";"Bruton";"735-587-2351";1044;10
5;"Loretta";"Kaes";"340-374-2432";4346;7
6;"Robb";"Pirazzi";"209-615-1690";7169;7
7;"Sayre";"Boyland";"339-945-3988";8181;1
8;"Alfonso";"Hyam";"263-820-8273";5938;3
9;"Petra";"Duffrie";"294-991-0408";7345;4
10;"Angelique";"Mepham";"207-574-1227";4479;8
11;"Essy";"Ternott";"633-913-2544";8062;1
12;"Northrup";"Chasson";"804-446-9138";8334;2
13;"Charissa";"Stithe";"105-435-3712";1984;5
14;"Bronnie";"Cakebread";"383-100-1012";8514;7
15;"Nanni";"Mulvany";"605-323-7558";3357;10
16;"Saundra";"MacInerney";"279-532-0546";7543;2
17;"Stephanie";"Smetoun";"769-689-9424";7433;10
18;"Nonnah";"Shrawley";"918-125-4932";5015;8
19;"Wes";"Clymo";"906-384-8546";1873;9
20;"Bartlett";"Scardafield";"819-416-9457";9774;4
21;"Zulema";"Carling";"851-351-6916";2543;10
22;"Janna";"Gahagan";"574-947-2711";6467;8
23;"Concettina";"Caston";"443-167-5092";2301;9
24;"Lorrin";"Bortoluzzi";"821-645-5148";5261;3
25;"Donnie";"Roseaman";"849-408-0984";3677;7
26;"Pattin";"Albin";"175-835-2151";5216;10
27;"Marybelle";"Dubery";"985-203-5305";9043;1
28;"Johnath";"Kilmister";"369-647-3237";6498;5
29;"Shay";"Pitrasso";"601-958-0979";6204;7
30;"Chloris";"Sexten";"565-984-5389";9449;2
31;"Tyne";"Dunston";"580-783-8950";9138;6
32;"Cari";"Piolli";"380-890-5331";2250;1
33;"Cy";"Sproule";"924-813-5041";5759;2
34;"Natassia";"Debrick";"773-227-7034";3729;5
35;"Vivien";"Cahalin";"314-364-7305";2732;3
36;"Fanchon";"Ellard";"589-434-9504";9787;3
37;"Burnard";"Remmer";"480-781-1160";5832;9
38;"Alisun";"Meharry";"490-927-9065";6609;1
39;"Camile";"Grim";"719-160-9163";6993;10
40;"Pippy";"Gabriel";"899-757-5603";2181;6
41;"Shea";"Shervil";"865-230-5252";1666;1
42;"Bobette";"Soden";"663-485-4020";2474;5
43;"Hermann";"Swatton";"869-773-3761";2933;6
44;"Artemas";"Revel";"482-670-5119";4145;8
45;"Twila";"McGeraghty";"968-120-0911";4108;10
46;"Filberto";"Forri";"978-453-7365";5301;3
47;"Vanessa";"Messenger";"544-850-6086";4594;9
48;"Ty";"Fawthrop";"360-527-0696";1349;7
49;"Joelly";"Flatley";"576-725-8429";3993;4
50;"Suzanne";"Higgonet";"308-270-5693";8147;10
51;"Oliy";"Davenall";"432-473-5891";6127;3
52;"Horten";"Schimann";"788-300-2890";3382;5
53;"Corrine";"Westmancoat";"949-856-5749";9910;10
54;"Jerrilee";"Digwood";"917-588-1009";7554;2
55;"Raffaello";"Coney";"599-969-4717";6940;7
56;"Garfield";"McMillian";"234-574-5430";1604;4
57;"Aubine";"Bolstridge";"821-240-2949";8159;1
58;"Bidget";"Slay";"994-219-6575";5607;10
59;"Aeriel";"Gerardot";"646-970-8903";6543;5
60;"Dudley";"Vittore";"644-641-5731";7591;3
61;"Bernette";"Lente";"721-961-0655";5692;2
62;"Loraine";"Shatliff";"751-659-3169";3247;8
63;"Finn";"Pullar";"777-886-8334";7167;10
64;"Aleksandr";"Matthew";"778-701-5063";2046;3
65;"Nadine";"Capsey";"159-459-8237";5955;5
66;"Maxie";"Vickar";"994-652-5038";1077;3
67;"Wald";"Alvarado";"576-242-0902";4178;4
68;"Lily";"Pexton";"320-396-0423";1418;1
69;"Eugine";"Caseley";"478-504-7630";8083;9
70;"Corty";"Genike";"780-979-8739";7108;10
71;"Carlie";"Astbury";"871-158-5184";7074;9
72;"Desmund";"Tefft";"328-271-3470";9877;2
73;"Karrah";"Reams";"975-505-2820";4718;1
74;"Carol";"Jeroch";"139-963-7886";7000;5
75;"Opalina";"Tingley";"477-802-9879";5122;10
76;"Hadley";"Demschke";"318-809-0420";2921;9
77;"Loydie";"Aymeric";"595-269-0754";1519;7
78;"Beatriz";"Blackboro";"922-737-0770";7586;10
79;"Georgetta";"Ragless";"521-841-7361";8211;5
80;"Shaun";"Meekin";"501-106-4219";3024;3
81;"Salem";"Atwel";"174-908-8000";9930;7
82;"Buffy";"Whiteley";"479-354-7756";7457;8
83;"Anabel";"Rouse";"347-285-5006";1068;9
84;"Alayne";"Fullerlove";"261-621-9562";4771;4
85;"Peta";"Bricket";"561-431-4476";6678;3
86;"Lilllie";"Gages";"317-611-5416";6943;2
87;"Cortney";"Jeary";"491-452-4306";3090;10
88;"Simona";"Mallan";"604-724-1307";9775;4
89;"Annamarie";"Olanda";"696-959-0429";7700;1
90;"Kimberli";"Bonny";"436-663-1907";6701;9
91;"Janifer";"Atger";"513-375-3333";6671;2
92;"Helenka";"Bowell";"741-595-5027";1199;10
93;"Welby";"Janovsky";"920-461-5979";7546;1
94;"Gaby";"Pomfret";"111-487-5530";5626;4
95;"Branden";"Bartolomeazzi";"378-215-0646";6988;9
96;"Jackie";"Ianetti";"871-782-8058";1030;3
97;"Sherm";"Yushachkov";"784-947-0388";9356;2
98;"Arlan";"Gorstidge";"914-523-8693";3453;6
99;"Tonye";"Scogin";"121-947-0453";5581;4
100;"Nollie";"MacVagh";"905-318-7553";4864;10
